timestamp,ph,biogas_production,anomaly,cause
2024-01-01 08:00:00,6.87,34.81,1,
2024-01-01 10:00:00,7.45,50.21,1,
2024-01-01 12:00:00,7.23,35.38,1,
2024-01-01 14:00:00,7.1,50.82,1,
2024-01-01 16:00:00,6.66,36.89,1,
2024-01-01 18:00:00,6.66,33.53,1,
2024-01-01 20:00:00,6.56,34.96,1,
2024-01-01 22:00:00,7.37,30.06,1,
2024-01-02 00:00:00,7.1,51.56,1,
2024-01-02 02:00:00,7.21,51.97,1,
2024-01-02 04:00:00,6.52,45.45,1,
2024-01-02 06:00:00,7.47,34.84,1,
2024-01-02 08:00:00,7.33,32.51,1,
2024-01-02 10:00:00,6.71,30.57,1,
2024-01-02 12:00:00,6.68,34.97,1,
2024-01-02 14:00:00,6.68,56.73,1,
2024-01-02 16:00:00,7.97,21.11,1,pH tinggi
2024-01-02 18:00:00,7.02,40.63,1,
2024-01-02 20:00:00,6.93,33.16,1,
2024-01-02 22:00:00,6.79,36.67,1,
2024-01-03 00:00:00,7.11,45.58,1,
2024-01-03 02:00:00,6.64,48.23,1,
2024-01-03 04:00:00,6.79,37.36,1,
2024-01-03 06:00:00,6.87,31.73,1,
2024-01-03 08:00:00,6.96,41.73,1,
2024-01-03 10:00:00,7.29,37.03,1,
2024-01-03 12:00:00,6.7,36.59,1,
2024-01-03 14:00:00,7.01,58.8,1,
2024-01-03 16:00:00,7.09,48.49,1,
2024-01-03 18:00:00,6.55,46.71,1,
2024-01-03 20:00:00,7.11,42.47,1,
2024-01-03 22:00:00,6.67,42.87,1,
2024-01-04 00:00:00,6.57,46.23,1,
2024-01-04 02:00:00,7.45,50.89,1,
2024-01-04 04:00:00,7.47,51.06,1,
2024-01-04 06:00:00,7.31,35.15,1,
2024-01-04 08:00:00,6.8,45.0,1,
2024-01-04 10:00:00,6.6,42.36,1,
2024-01-04 12:00:00,7.18,56.12,1,
2024-01-04 14:00:00,6.94,48.94,1,
2024-01-04 16:00:00,6.62,45.98,1,
2024-01-04 18:00:00,7.0,33.46,1,
2024-01-04 20:00:00,6.53,48.17,1,
2024-01-04 22:00:00,7.41,33.52,1,
2024-01-05 00:00:00,6.76,40.12,1,
2024-01-05 02:00:00,7.16,34.29,1,
2024-01-05 04:00:00,6.81,50.76,1,
2024-01-05 06:00:00,7.02,36.19,1,
2024-01-05 08:00:00,7.05,41.76,1,
2024-01-05 10:00:00,6.68,56.87,1,
2024-01-05 12:00:00,7.47,36.13,1,
2024-01-05 14:00:00,7.28,45.23,1,
2024-01-05 16:00:00,7.44,42.58,1,
2024-01-05 18:00:00,7.39,30.54,1,
2024-01-05 20:00:00,7.1,53.78,1,
2024-01-05 22:00:00,7.42,32.07,1,
2024-01-06 00:00:00,6.59,44.23,1,
2024-01-06 02:00:00,6.7,46.82,1,
2024-01-06 04:00:00,6.55,48.85,1,
2024-01-06 06:00:00,6.83,50.66,1,
2024-01-06 08:00:00,7.01,87.77,1,Produksi naik drastis
2024-01-06 10:00:00,6.77,30.3,1,
2024-01-06 12:00:00,7.33,51.7,1,
2024-01-06 14:00:00,6.86,46.07,1,
2024-01-06 16:00:00,6.78,55.08,1,
2024-01-06 18:00:00,7.04,54.64,1,
2024-01-06 20:00:00,6.64,55.3,1,
2024-01-06 22:00:00,7.3,44.55,1,
2024-01-07 00:00:00,6.57,40.01,1,
2024-01-07 02:00:00,7.49,53.75,1,
2024-01-07 04:00:00,7.27,43.54,1,
2024-01-07 06:00:00,6.7,35.5,1,
2024-01-07 08:00:00,6.83,21.29,1,Maintenance
2024-01-07 10:00:00,7.32,56.48,1,
2024-01-07 12:00:00,7.21,43.99,1,
2024-01-07 14:00:00,7.23,32.27,1,
2024-01-07 16:00:00,7.27,41.63,1,
2024-01-07 18:00:00,6.57,54.11,1,
2024-01-07 20:00:00,6.86,57.05,1,
